歌单链接	歌单名字
https://music.163.com/playlist?id=2387317192	【防弹少年团】燃起来的了解一下
https://music.163.com/playlist?id=2300684161	橙光《国民夫妇》BGM合集
https://music.163.com/playlist?id=960827299	韩剧《Black》
https://music.163.com/playlist?id=2449447488	Apink
https://music.163.com/playlist?id=2490761481	【IU2018这一刻亚洲巡回演唱会歌单】
https://music.163.com/playlist?id=2471644294	H.O.T 2018.1314演唱会
https://music.163.com/playlist?id=1989601362	韩语|幽蓝深静|轻语呢喃
https://music.163.com/playlist?id=2482734345	超甜韩语歌[sweet]甜到想恋爱
https://music.163.com/playlist?id=2216739277	韩国Moombahton 异域风情的魔性律动
https://music.163.com/playlist?id=2435074528	Red Velvet 最好听的歌合集
https://music.163.com/playlist?id=2231517430	好听的韩文歌讷-
https://music.163.com/playlist?id=2462399311	「韩语」是恋爱的感觉
https://music.163.com/playlist?id=2380981784	?粉色冒泡的韩国甜歌?
https://music.163.com/playlist?id=2358109541	《失心疯》BGM/橙光
https://music.163.com/playlist?id=2356264540	7DREAM | NCT DREAM歌曲合辑
https://music.163.com/playlist?id=2183922738	???/G-DRAGON/权志龙专属歌单
https://music.163.com/playlist?id=2377501932	橙光||生存之道BGM
https://music.163.com/playlist?id=2456720052	G-Dragon 热门50单曲现场
https://music.163.com/playlist?id=2044558733	凋零的花瓣等待着春日的到来
https://music.163.com/playlist?id=2389979902	Samuel【豆丁】
https://music.163.com/playlist?id=2206391990	宇宙少女-吴宣仪???
https://music.163.com/playlist?id=2343931784	『我的ID是江南美人』
https://music.163.com/playlist?id=2293796316	【韩语】推开窗帘，又是元气满满的一天
https://music.163.com/playlist?id=2259904185	【Kor】Jazz Hip Hop?午 夜 魅 影
https://music.163.com/playlist?id=2124390445	唉春天了嘛，让抓耳前奏叫醒春困的耳朵
https://music.163.com/playlist?id=2281529325	橙光·『你是谁』背景音乐BGM
https://music.163.com/playlist?id=2461481440	韩?深秋的感性是温柔一世的清凉
https://music.163.com/playlist?id=2283092525	【BTS】DDAENG!
https://music.163.com/playlist?id=436574096	韩语?小众清新乐队合集
https://music.163.com/playlist?id=2053066523	D&E哼过/在电台推荐过的歌
https://music.163.com/playlist?id=2356763728	韩剧我的ID是江南美人BGM
https://music.163.com/playlist?id=2173920640	韩语～我又遇见你了，在梦里。
https://music.163.com/playlist?id=2022311666	在你之后来过的每个人，我都不敢报太多期望
https://music.163.com/playlist?id=718647511	韩·独立音乐|强颜欢笑的我们 终究只剩孤独
https://music.163.com/playlist?id=934626097	韩语小众丨一骑绝尘 惊艳男嗓
https://music.163.com/playlist?id=963454998	☆韩语☆老板，请给我一个会唱歌的男朋友＾
https://music.163.com/playlist?id=2246701391	韩剧《金秘书为什么那样》OST&BGM
https://music.163.com/playlist?id=2341944068	我的ID是江南美人
https://music.163.com/playlist?id=2191043306	边伯贤翻唱及推荐的歌曲
https://music.163.com/playlist?id=2183449083	另類實驗電子像素化迷森捕夢精靈f(x)
https://music.163.com/playlist?id=2416433700	李宣美(Sunmi)
https://music.163.com/playlist?id=2405183091	韩剧OST | 收集歌声中的浪漫碎片
https://music.163.com/playlist?id=2020234970	橙光游戏《末日使徒》BGM
https://music.163.com/playlist?id=2535762294	韩剧《男朋友》BGM主题曲
https://music.163.com/playlist?id=2539843968	SanE drug ?
https://music.163.com/playlist?id=577988262	韩语R&B/薄荷般清新的布鲁斯节奏
https://music.163.com/playlist?id=2266824902	ASTRO
https://music.163.com/playlist?id=2026869175	韩剧《花游记》OST&BGM合辑
https://music.163.com/playlist?id=2034557538	朴宝剑的歌&FM翻唱歌曲
https://music.163.com/playlist?id=2289415924	橙光游戏《别黑化》BGM合集
https://music.163.com/playlist?id=2308274157	韩语：全副武装！压制性听觉干扰
https://music.163.com/playlist?id=2238607242	韩系甜歌｜听了怦然心动 让人想恋爱
https://music.163.com/playlist?id=2168111895	游戏专属BGM-300大作战
https://music.163.com/playlist?id=2046191248	韩语经典永恒
https://music.163.com/playlist?id=531677547	【防弹少年团】他们那些睡觉时适合听的歌
https://music.163.com/playlist?id=651512445	防弹少年团混音remix版
https://music.163.com/playlist?id=2153711788	韩语/一个韩语学习者的捧心推荐甜歌
https://music.163.com/playlist?id=2432544546	热门韩剧BGM收录~
https://music.163.com/playlist?id=2468051799	H.O.T. 1314蚕室歌单
https://music.163.com/playlist?id=1988636371	电影《熔炉》
https://music.163.com/playlist?id=913309930	O47.【韩剧】主君的太阳
https://music.163.com/playlist?id=2210652991	『2NE1』不可复制的GirlCrush
https://music.163.com/playlist?id=2133574130	F(x)好听的歌曲精选
https://music.163.com/playlist?id=2127947962	毕雯珺 | 原唱曲/翻唱原曲 | 禁打扰前辈
https://music.163.com/playlist?id=971798894	7012 Running man 专属bgm
https://music.163.com/playlist?id=2523103481	韩剧《男朋友》OST 宋慧乔&朴宝剑
https://music.163.com/playlist?id=55200678	SUPER JUNIOR-D&E(东海&银赫)
https://music.163.com/playlist?id=945263186	［防弹少年团］黄金忙内田柾国cover
https://music.163.com/playlist?id=973889475	??? so s?e?r?i?o?u?s? ?
https://music.163.com/playlist?id=450911838	朴谁不如朴灿烈
https://music.163.com/playlist?id=2511248830	NCT良曲精选（包含各个分队）
