123790,浪漫
123790,影视原声
750041,韩语
750041,影视原声
17086,日语
17086,流行
17086,伤感
161667,日语
161667,小语种
161667,轻音乐
17712,日语
17712,怀旧
17712,影视原声
56725,欧美
56725,韩语
56725,游戏
123426,韩语
123426,流行
123426,舞曲
16855,日语
16855,浪漫
16855,影视原声
19968,日语
19968,思念
19968,ACG
46499,欧美
46499,影视原声
916094,韩语
916094,安静
916094,伤感
1045123,欧美
1045123,流行
1045123,摇滚
1045123,舞曲
1045123,电子
27692541,欧美
27692541,流行
27692541,摇滚
816520,欧美
816520,另类/独立
816520,榜单
14103,日语
14103,清新
14103,流行
12322300,欧美
12322300,电子
12322300,流行
12231031,韩语
12231031,电子
12108621,韩语
12108621,流行
12108621,思念
89363,影视原声
89363,欧美
79613,欧美
79613,治愈
79613,夜晚
28745,欧美
28745,电子
28745,舞曲
677012,欧美
677012,流行
677012,电子
97927,欧美
97927,电子
97927,酒吧
202236,欧美
202236,流行
202236,电子
16152,日语
16152,怀旧
16152,感动
124012,韩语
124012,工作
124012,另类/独立
126793,韩语
126793,伤感
126793,散步
956143,韩语
956143,伤感
956143,另类/独立
12355128,欧美
12355128,另类/独立
12355128,放松
712021,韩语
712021,清新
712021,伤感
12895079,韩语
12895079,流行
20750,日语
20750,影视原声
20750,感动
20750,ACG
96264,欧美
96264,另类/独立
127960,韩语
127960,流行
127960,浪漫
18749,日语
18749,学习
18749,清新
1004106,日语
1004106,治愈
1004106,感动
17639,游戏
17639,ACG
17639,日语
14960,日语
14960,轻音乐
14960,古风
126879,韩语
126879,世界音乐
126879,怀旧
126879,流行
126879,80后
126879,90后
20297,日语
14975,日语
14975,流行
14975,伤感
14975,治愈
15053,日语
15053,治愈
15053,怀旧
16554,日语
16554,治愈
16554,影视原声
18436,日语
18436,孤独
40447,欧美
40447,流行
40447,清新
126112,韩语
126112,流行
126112,思念
29985,欧美
29985,爵士
29985,蓝调
741164,日语
741164,治愈
741164,ACG
964321,欧美
964321,流行
964321,游戏
964321,R&B/Soul
18104,日语
18104,ACG
125506,韩语
125506,流行
125506,另类/独立
21320,日语
21320,摇滚
21320,治愈
12000049,欧美
12000049,另类/独立
12000049,放松
1050193,韩语
1050193,另类/独立
1050193,清新
12355573,欧美
12355573,电子
12355573,清新
174005,韩语
17876,日语
17876,流行
17876,浪漫
792543,欧美
792543,伤感
792543,感动
14060458,欧美
14060458,伤感
14060458,感动
12000084,轻音乐
12000084,治愈
12000084,韩语
1022037,另类/独立
1022037,器乐
1022037,日语
1022037,欧美
1022037,电子
1022037,兴奋
128040,韩语
128040,流行
128040,浪漫
126614,韩语
126614,日语
126614,民谣
178059,影视原声
178059,韩语
178059,流行
178059,浪漫
12506499,韩语
12506499,流行
16696,日语
16696,清晨
16696,伤感
41931,日语
41931,另类/独立
804317,电子
804317,欧美
804317,另类/独立
863042,欧美
863042,电子
863042,流行
191168,日语
191168,伤感
191168,ACG
20292,日语
20292,流行
20292,感动
12274254,韩语
12274254,影视原声
12274254,翻唱
1156242,日语
1156242,ACG
1156242,游戏
50905,欧美
50905,摇滚
50905,说唱
52979,华语
52979,欧美
12198881,日语
12198881,治愈
12198881,学习
12198881,放松
12198881,清新
1086040,日语
1086040,另类/独立
1086040,ACG
69320,放松
69320,欧美
34994,欧美
34994,电子
34994,舞曲
858362,电子
858362,酒吧
858362,欧美
28070363,日语
28070363,治愈
28070363,放松
12213215,韩语
12213215,电子
12213215,放松
12084089,日语
12084089,游戏
1087660,华语
1087660,日语
1087660,游戏
1087660,电子
127043,韩语
127043,流行
127043,另类/独立
29169789,欧美
29169789,另类/独立
29169789,安静
197248,欧美
197248,电子
197248,浪漫
1011016,韩语
1011016,流行
1011016,另类/独立
789120,韩语
789120,安静
789120,伤感
28384,欧美
28384,治愈
28384,地铁
1120193,日语
1120193,夜晚
1120193,治愈
1120193,放松
1120193,清新
1120193,流行
1120193,轻音乐
1120193,欧美
1120193,学习
13057726,欧美
13057726,电子
13057726,浪漫
12356737,日语
12356737,ACG
19722,日语
19722,流行
38130,欧美
38130,夜晚
38130,安静
190662,日语
190662,小语种
190662,游戏
14760,日语
14760,游戏
14760,ACG
12226106,欧美
12226106,浪漫
12226106,吉他
50934,清晨
50934,欧美
93494,欧美
93494,流行
93494,电子
1054076,韩语
1054076,流行
1074011,日语
1074011,ACG
1074011,伤感
1074011,感动
12183563,欧美
12183563,性感
320153,欧美
320153,小语种
320153,影视原声
320153,校园
11977064,日语
11977064,流行
11977064,浪漫
17477,日语
17477,轻音乐
17477,清新
17477,流行
17477,ACG
17477,治愈
17477,感动
1046001,欧美
1046001,民谣
1046001,治愈
27621,欧美
27621,电子
27621,兴奋
34817,电子
34817,酒吧
34817,欧美
28085218,日语
28085218,ACG
28085218,流行
1199051,电子
1199051,舞曲
1199051,欧美
126907,韩语
126907,90后
17601,日语
17601,ACG
17601,兴奋
17601,学习
17601,清新
19573,日语
19573,ACG
19573,影视原声
1181238,欧美
1181238,电子
1016003,欧美
1016003,电子
955114,韩语
955114,流行
